restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,max_packaging_charge,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
POM POM BIRIYANI,Biriyani + Varuval + Egg,,175,,,,0,Non Veg,,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani Combos,,0,,1,1
POM POM BIRIYANI,Biriyani + Chilli + Egg,,175,,,,0,Non Veg,,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani Combos,,0,,1,2
POM POM BIRIYANI,Biriyani + Varuval + Chilli,,188,,,,0,Non Veg,,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani Combos,,0,,1,3
POM POM BIRIYANI,Biriyani + Varuval + Egg + Sweet,Must Try,188,,,,0,Non Veg,,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani Combos,,0,,1,4
POM POM BIRIYANI,Biriyani + Chicken Manchurian + Sweet,,250,,,,0,Non Veg,,6:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani Combos,,0,,1,5
POM POM BIRIYANI,Chicken Biriyani + Tawa Varuval,,225,,,,0,Non Veg,,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani Combos,,0,,1,6
POM POM BIRIYANI,Chicken Rice + Chicken 65,Must Try,188,,,,0,Non Veg,,6:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani Combos,,0,,1,7
POM POM BIRIYANI,Chicken Fried Rice + Chicken Manchurian + Sweet,,250,,,,0,Non Veg,,6:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani Combos,,0,,1,8
POM POM BIRIYANI,Chicken Biriyani ,Must Try,125,,,,0,Non Veg,,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,2,1
POM POM BIRIYANI,Chicken 65 Biriyani ,Must Try,138,,,,0,Non Veg,,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,2,2
POM POM BIRIYANI,Chicken Biriyani with Egg ,Must Try,138,,,,0,Non Veg,,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,2,3
POM POM BIRIYANI,Egg Biriyani ,,113,,,,0,Non Veg,,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,2,4
POM POM BIRIYANI,Plain Biriyani ,,100,,,,0,Non Veg,,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,2,5
POM POM BIRIYANI,Chicken Tawa Varuval Biriyani,Must Try,150,,,,0,Non Veg,,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,2,6
POM POM BIRIYANI,Chicken Chukka Dry,,100,,,,0,Non Veg,,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Dry Items,,0,,3,1
POM POM BIRIYANI,Chicken Tawa Varuval Dry,,100,,,,0,Non Veg,,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Dry Items,,0,,3,2
POM POM BIRIYANI,Chicken 65,,75,,,,0,Non Veg,,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Dry Items,,0,,3,3
POM POM BIRIYANI,Chicken Manchurian Dry,,125,,,,0,Non Veg,,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Dry Items,,0,,3,4
POM POM BIRIYANI,Chicken Pepper Manchurian Dry,,125,,,,0,Non Veg,,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Dry Items,,0,,3,5
POM POM BIRIYANI,Pom Pom Special Chicken Egg Fry,,125,,,,0,Non Veg,,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Dry Items,,0,,3,6
POM POM BIRIYANI,Chicken Chukka Semi Gravy,,100,,,,0,Non Veg,,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Semi Gravy,,0,,4,1
POM POM BIRIYANI,Chicken Tawa Varuval Semi Gravy,,100,,,,0,Non Veg,,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Semi Gravy,,0,,4,2
POM POM BIRIYANI,Chicken Manchurian Semi Gravy,,125,,,,0,Non Veg,,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Semi Gravy,,0,,4,3
POM POM BIRIYANI,Chicken Pepper Manchurian Semi Gravy,,125,,,,0,Non Veg,,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Semi Gravy,,0,,4,4
POM POM BIRIYANI,Pom Pom Special Chicken Egg Semi Gravy,,125,,,,0,Non Veg,,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Semi Gravy,,0,,4,5
POM POM BIRIYANI,Veg Noodles,,88,,,,0,Veg,,6:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,5,1
POM POM BIRIYANI,Egg Noodles,,100,,,,0,Non Veg,,6:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,5,2
POM POM BIRIYANI,Chicken Noodles,,125,,,,0,Non Veg,,6:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,5,3
POM POM BIRIYANI,Veg Fried Rice,,88,,,,0,Veg,,6:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,5,4
POM POM BIRIYANI,Egg Fried Rice,,100,,,,0,Non Veg,,6:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,5,5
POM POM BIRIYANI,Chicken Fried Rice,,125,,,,0,Non Veg,,6:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,5,6
POM POM BIRIYANI,Schezwan,,25,,,,0,Veg,,6:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,5,7
POM POM BIRIYANI,Lemon Mint Mojito,,63,,,,0,Veg,,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mojitos,,0,,6,1
POM POM BIRIYANI,Blue Curacao Mojito,,63,,,,0,Veg,,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mojitos,,0,,6,2
POM POM BIRIYANI,Sweet Lemon Soda,,38,,,,0,Veg,,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mojitos,,0,,6,3
POM POM BIRIYANI,Sweet & Salt Lemon Soda,,38,,,,0,Veg,,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mojitos,,0,,6,4
POM POM BIRIYANI,Day Special Sweet,Thinai Payasam/Aval Payasam/Tutti Frutti Kesari/Pineapple Kesari,19,,,,0,Veg,,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Addons,,0,,7,1
POM POM BIRIYANI,Boiled Egg ,,13,,,,0,Non Veg,,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Addons,,0,,7,2
